date,pred_stage,pred_discharge
2021-01-05,29.560722,166.52206
2021-01-06,29.652857,173.67064
2021-01-07,29.698732,222.63461
2021-01-08,29.857983,256.59616
2021-01-09,30.10325,374.1343
2021-01-10,30.476736,481.51978
2021-01-11,30.409966,444.54996
2021-01-12,29.890963,252.16705
2021-01-13,29.625074,125.4633
2021-01-14,29.753876,231.60985
2021-01-15,29.912037,295.72437
2021-01-16,29.759132,231.3068
2021-01-17,29.681643,180.63306
2021-01-18,29.75882,227.30754
2021-01-19,29.74502,219.20314
2021-01-20,29.695278,191.565
2021-01-21,29.81137,235.41292
2021-01-22,29.65423,186.62938
2021-01-23,29.748692,231.16293
2021-01-24,29.664547,192.70758
2021-01-25,29.570137,165.25423
2021-01-26,29.719921,222.77347
2021-01-27,29.660786,206.51108
2021-01-28,29.632738,189.9962
2021-01-29,29.725904,207.7375
2021-01-30,29.702755,206.44968
2021-01-31,29.672335,214.87245
2021-02-01,29.57847,181.17493
2021-02-02,29.69582,216.11185
2021-02-03,29.667456,208.21356
2021-02-04,29.644289,189.27051
2021-02-05,29.799898,229.47327
2021-02-06,29.528667,145.94608
2021-02-07,29.627958,198.80789
2021-02-08,29.617096,184.67274
2021-02-09,29.710777,210.43686
2021-02-10,29.581766,185.77513
2021-02-11,29.54376,154.57803
2021-02-12,29.618196,189.97229
2021-02-13,29.522316,158.55008
2021-02-14,29.426779,105.50977
2021-02-15,29.500877,154.4427
2021-02-16,29.463017,140.96837
2021-02-17,29.601084,194.54123
2021-02-18,29.415562,111.15521
2021-02-19,29.590908,166.63124
2021-02-20,29.541977,185.39693
2021-02-21,29.608318,196.49323
2021-02-22,29.630552,177.85698
2021-02-23,29.611313,204.3797
2021-02-24,29.49918,159.52638
2021-02-25,29.606283,162.88979
2021-02-26,29.571253,168.82446
2021-02-27,29.53243,133.64258
2021-02-28,29.516996,155.28885
2021-03-01,29.588047,183.16583
2021-03-02,29.528894,144.31927
2021-03-03,29.57051,177.5418
2021-03-04,29.66101,183.7308
2021-03-05,29.789747,227.84398
2021-03-06,29.74234,243.43675
2021-03-07,29.628136,202.6557
2021-03-08,29.681469,207.49724
2021-03-09,29.492012,144.40575
2021-03-10,29.598791,171.44711
2021-03-11,29.637661,181.92657
2021-03-12,29.495579,150.35052
2021-03-13,29.635477,199.63391
2021-03-14,29.685804,226.05637
2021-03-15,29.611588,188.48862
2021-03-16,29.472878,141.48543
2021-03-17,29.72783,221.49951
2021-03-18,29.751457,249.95486
2021-03-19,29.768095,246.61472
2021-03-20,29.666498,194.19292
2021-03-21,29.80665,236.32903
2021-03-22,29.824806,263.15604
2021-03-23,29.842587,245.12296
2021-03-24,29.8313,269.0513
